,Age,Days on Site,Listed By,Lot Size,MLS®#,Size,Style,Taxes,Type,Walk Score,address,city,hoot,price,Business Type,Property Type,Zoning,Photo file,Photo url
514,31-50 years,"25 (Jan 9, 2020)","Cityscape Real Estate Ltd., Brokerage",50.00 x 132 Feet,C4664024,1500-2000 sqft,Bungalow,"$5,334 /yr",Detached,43,501 Hounslow Avenue,Toronto,Willowdale West,"$1,495,000 ",,,,,
515,New,"25 (Jan 9, 2020)","Forest Hill Real Estate Inc., Brokerage",41.46 x 160.34 Feet,C4663880,3500-5000 sqft,2-Storey,No Data,Detached,21,216 Olive Avenue,Toronto,Willowdale East,"$3,288,000 ",,,,,
516,No Data,"25 (Jan 9, 2020)","Re/max Realtron Realty Inc., Brokerage",42.02 x 139.7 Feet,C4663872,No Data,2-Storey,"$6,892 /yr",Detached,70,109 Norton Avenue,Toronto,Willowdale East,"$2,088,000 ",,,,,
517,0-5 years,"25 (Jan 8, 2020)","Sutton West Realty Inc., Brokerage",60.00 x 136.97 Feet,C4663725,3500-5000 sqft,2-Storey,"$14,000 /yr",Detached,20,38 Caswell Drive,Toronto,Newtonbrook East,"$2,888,000 ",,,,,
518,No Data,"25 (Jan 8, 2020)","Engel & Volkers Toronto Central, Brokerage",100.00 x 588.02 Feet,C4663707,5000 sqft,2-Storey,"$18,154 /yr",Detached,14,100 Sandringham Drive,Toronto,Lansing-westgate,"$3,688,000 ",,,,,
519,No Data,"26 (Jan 8, 2020)","Forest Hill Real Estate Inc., Brokerage",36.12 x 111.63 Feet,C4663416,3000-3500 sqft,2-Storey,"$7,572 /yr",Detached,36,21 Equestrian Court,Toronto,Bayview Woods-steeles,"$1,628,000 ",,,,,
520,No Data,"26 (Jan 8, 2020)","Royal Lepage Real Estate Services Nancy Saedi, Brokerage",49.58 x 122.91 Feet,C4663326,No Data,2-Storey,"$8,727 /yr",Detached,26,272 Upper Highland Crescent,Toronto,St. Andrew-windfields,"$2,380,000 ",,,,,
521,0-5 years,"26 (Jan 8, 2020)","Royal Lepage Real Estate Services Nancy Saedi, Brokerage",60.00 x 150 Feet,C4663325,No Data,2-Storey,"$14,800 /yr",Detached,12,138 Upper Canada Drive,Toronto,St. Andrew-windfields,"$3,498,000 ",,,,,
522,No Data,"26 (Jan 8, 2020)","Royal Lepage Real Estate Services Nancy Saedi, Brokerage",61.37 x 126.61 Feet,C4663318,No Data,Bungalow,"$6,449 /yr",Detached,36,1 Southwell Drive,Toronto,Banbury-don Mills,"$1,600,000 ",,,,,
523,No Data,"26 (Jan 8, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",48.13 x 139.11 Feet,C4663306,No Data,2-Storey,"$7,931 /yr",Detached,39,45 Leacock Crescent,Toronto,Banbury-don Mills,"$1,849,000 ",,,,,
524,No Data,"26 (Jan 8, 2020)","Re/max Realtron Bijan Barati Real Estate, Brokerage",50.00 x 158 Feet,C4663305,3500-5000 sqft,2-Storey,"$10,583 /yr",Detached,37,250 Parkview Avenue,Toronto,Willowdale East,"$2,588,000 ",,,,,
525,No Data,"26 (Jan 8, 2020)","Right At Home Realty Inc., Brokerage",39.73 x 106 Feet,W4663287,No Data,2-Storey,"$8,690 /yr",Detached,66,1 Valleymede Road,Toronto,High Park-swansea,"$1,910,000 ",,,,,
526,No Data,"26 (Jan 8, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",50.00 x 120 Feet,C4663248,No Data,Bungalow,"$6,026 /yr",Detached,55,7 Averill Crescent,Toronto,Newtonbrook East,"$1,488,000 ",,,,,
527,No Data,"26 (Jan 8, 2020)","Royal Lepage Signature Walker Realty, Brokerage",60.00 x 100.41 Feet,C4663088,No Data,2-Storey,"$8,355 /yr",Detached,21,4 Knollview Crescent,Toronto,Bayview Village,"$1,895,000 ",,,,,
528,6-15 years,"26 (Jan 8, 2020)","Adenat Real Estate Ltd., Brokerage",38.78 x 100 Feet,C4663024,2500-3000 sqft,2-Storey,"$3,921 /yr",Detached,51,35 Yeomans Road,Toronto,Clanton Park,"$2,250,000 ",,,,,
529,51-99 years,"26 (Jan 8, 2020)","Right At Home Realty Inc., Brokerage",74.93 x 87.54 Feet,C4662985,No Data,Bungalow-Raised,"$6,495 /yr",Detached,20,5 Terrington Court,Toronto,Banbury-don Mills,"$1,799,000 ",,,,,
530,No Data,"26 (Jan 8, 2020)","Easkin Real Estate Inc., Brokerage",46.00 x 134 Feet,C4662812,No Data,1 1/2 Storey,"$4,749 /yr",Detached,49,650 Coldstream Avenue,Toronto,Englemount-lawrence,"$1,340,000 ",,,,,
531,No Data,"26 (Jan 8, 2020)","Royal Lepage Signature Realty, Brokerage",60.17 x 165.21 Feet,E4662797,No Data,Backsplit 5,"$4,506 /yr",Detached,14,85 Meadowvale Road,Toronto,Centennial Scarborough,"$1,068,800 ",,,,,
532,No Data,"27 (Jan 7, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",25.00 x 110 Feet,W4662697,No Data,3-Storey,"$2,993 /yr",Detached,61,445 Whitmore Avenue,Toronto,Briar Hill-belgravia,"$1,585,000 ",,,,,
533,31-50 years,"27 (Jan 7, 2020)","Century 21 Innovative Realty Inc., Brokerage",40.18 x 115.27 Feet,E4662694,3000-3500 sqft,2-Storey,"$4,051 /yr",Detached,6,28 Wandering Trail,Toronto,Rouge E11,"$949,900 ",,,,,
534,6-15 years,"27 (Jan 7, 2020)","Adenat Real Estate Ltd., Brokerage",60.00 x 179 Feet,C4662653,3500-5000 sqft,2-Storey,"$22,433 /yr",Detached,31,47 Owen Boulevard,Toronto,St. Andrew-windfields,"$4,850,000 ",,,,,
535,No Data,"27 (Jan 7, 2020)","Nordale Realty & Associates Inc., Brokerage",59.75 x 102.7 Feet,C4662610,No Data,Bungalow,"$5,152 /yr",Detached,57,35 Verwood Avenue,Toronto,Clanton Park,"$1,350,000 ",,,,,
536,New,"27 (Jan 7, 2020)","Royal Lepage Your Community Realty, Brokerage",25.00 x 122 Feet,C4662562,2000-2500 sqft,2-Storey,No Data,Detached,77,559 Millwood Road,Toronto,Mount Pleasant East,"$2,795,000 ",,,,,
537,No Data,"27 (Jan 7, 2020)","Sutton Group-tower Realty Ltd., Brokerage",53.00 x 119.8 Feet,W4662430,No Data,1 1/2 Storey,"$3,261 /yr",Detached,79,135 John Street,Toronto,Weston,"$819,000 ",,,,,
538,0-5 years,"27 (Jan 7, 2020)","Re/max Crossroads Realty Inc., Brokerage",33.00 x 120 Feet,W4662414,No Data,2-Storey,"$5,273 /yr",Detached,67,1204 Islington Avenue,Toronto,Islington-city Centre West,"$1,350,000 ",,,,,
539,No Data,"27 (Jan 7, 2020)","Home Legend Realty Inc., Brokerage",30.00 x 138.58 Feet,E4662457,No Data,2-Storey,"$3,958 /yr",Detached,65,61 Mcdonald Avenue,Toronto,Oakridge,"$918,000 ",,,,,
540,New,"27 (Jan 7, 2020)","Forest Hill Real Estate Inc., Brokerage",50.00 x 132 Feet,C4662408,3500-5000 sqft,2-Storey,"$5,476 /yr",Detached,28,199 Goulding Avenue,Toronto,Newtonbrook West,"$2,598,000 ",,,,,
541,New,"27 (Jan 7, 2020)","Homelife/bayview Realty Inc., Brokerage",25.00 x 148 Feet,C4662371,No Data,2-Storey,"$6,200 /yr",Detached,75,650 Balliol Street,Toronto,Mount Pleasant East,"$2,798,000 ",,,,,
542,No Data,"27 (Jan 7, 2020)","Royal Lepage Your Community Realty, Brokerage",25.00 x 109 Feet,W4662207,No Data,1 1/2 Storey,"$2,910 /yr",Detached,51,146 Eileen Avenue,Toronto,Rockcliffe-smythe,"$600,000 ",,,,,
543,No Data,"27 (Jan 7, 2020)","Re/max Realtron Realty Inc., Brokerage",46.21 x 101.05 Feet,C4662179,No Data,2-Storey,"$8,599 /yr",Detached,52,44 Eunice Road,Toronto,Bayview Village,"$1,898,000 ",,,,,
544,New,"27 (Jan 7, 2020)","Homelife Frontier Realty Inc., Brokerage",52.33 x 145 Feet,C4662159,No Data,2-Storey,"$12,320 /yr",Detached,19,16 Lloydminster Crescent,Toronto,Newtonbrook East,"$3,298,800 ",,,,,
545,31-50 years,"27 (Jan 7, 2020)","Search Realty Corp., Brokerage",39.00 x 109 Feet,E4662107,No Data,Backsplit 5,"$3,066 /yr",Detached,31,46 Rovinelli Road,Toronto,Malvern,"$899,000 ",,,,,
546,0-5 years,"27 (Jan 7, 2020)","Bay Street Group Inc., Brokerage",48.00 x 126.85 Feet,C4662089,3500-5000 sqft,2-Storey,"$10,403 /yr",Detached,39,38 Terrace Avenue,Toronto,Willowdale West,"$2,599,999 ",,,,,
547,No Data,"27 (Jan 7, 2020)","Sotheby`s International Realty Canada, Brokerage",53.00 x 150 Feet,C4662033,No Data,2-Storey,"$15,352 /yr",Detached,66,108 Yonge Boulevard,Toronto,Bedford Park-nortown,"$3,400,000 ",,,,,
548,No Data,"27 (Jan 7, 2020)","Forest Hill Real Estate Inc., Brokerage",50.00 x 120 Feet,C4662027,No Data,2-Storey,"$10,296 /yr",Detached,61,51 Shallmar Boulevard,Toronto,Forest Hill North,"$3,495,000 ",,,,,
549,No Data,"27 (Jan 7, 2020)","Soltanian Real Estate Inc., Brokerage",52.25 x 152 Feet,C4661986,No Data,Bungalow-Raised,"$7,213 /yr",Detached,24,24 Maxome Avenue,Toronto,Newtonbrook East,"$1,548,000 ",,,,,
550,No Data,"27 (Jan 7, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",41.67 x 118 Feet,C4661970,No Data,2-Storey,No Data,Detached,65,585 Brookdale Avenue,Toronto,Bedford Park-nortown,"$3,498,000 ",,,,,
551,No Data,"27 (Jan 7, 2020)","Greenfield Real Estate Inc., Brokerage",43.75 x 144 Feet,C4661939,6300 sqft,No Data,"$4,223 /yr",Land,58,795 Sheppard Avenue,Toronto,Clanton Park,"$2,380,000 ",,,,,
552,No Data,"27 (Jan 7, 2020)","Greenfield Real Estate Inc., Brokerage",43.69 x 144 Feet,C4661938,6291 sqft,No Data,"$4,359 /yr",Land,58,797 Sheppard Avenue,Toronto,Clanton Park,"$2,380,000 ",,,,,
553,No Data,"27 (Jan 7, 2020)","Greenfield Real Estate Inc., Brokerage",43.75 x 161 Feet,C4661936,7043 sqft,No Data,"$4,308 /yr",Land,58,799 Sheppard Avenue,Toronto,Clanton Park,"$2,380,000 ",,,,,
554,No Data,"27 (Jan 7, 2020)","Greenfield Real Estate Inc., Brokerage",47.00 x 131.25 Feet,C4661942,6168 sqft,No Data,"$4,797 /yr",Land,58,128 Gorman Park Avenue,Toronto,Clanton Park,"$2,380,000 ",,,,,
555,No Data,"27 (Jan 7, 2020)","Greenfield Real Estate Inc., Brokerage",47.00 x 131.25 Feet,C4661945,6168 sqft,No Data,"$4,887 /yr",Land,58,130 Gorman Park Avenue,Toronto,Clanton Park,"$2,380,000 ",,,,,
556,No Data,"27 (Jan 7, 2020)","Greenfield Real Estate Inc., Brokerage",69.55 x 131.19 Feet,C4661927,No Data,Bungalow,"$4,420 /yr",Detached,58,132 Gorman Park Avenue,Toronto,Clanton Park,"$3,980,000 ",,,,,
557,No Data,"27 (Jan 7, 2020)","Re/max Realtron Realty Inc., Brokerage",20.00 x 116 Feet,C4661893,No Data,3-Storey,"$5,565 /yr",Detached,95,707 Crawford Street,Toronto,Palmerston-little Italy,"$2,590,000 ",,,,,
558,No Data,"27 (Jan 7, 2020)","Century 21 Leading Edge Realty Inc., Brokerage",25.00 x 124.72 Feet,W4661874,No Data,2-Storey,"$2,895 /yr",Detached,43,1213 Glencairn Avenue,Toronto,Yorkdale-glen Park,"$1,388,000 ",,,,,
559,No Data,"27 (Jan 7, 2020)","One Percent Realty Ltd., Brokerage",30.00 x 83 Feet,W4661850,No Data,Backsplit 3,"$2,182 /yr",Detached,43,26 Cobbler Crescent,Toronto,Black Creek,"$649,000 ",,,,,
560,New,"27 (Jan 7, 2020)","Re/max Excel Realty Ltd., Brokerage",55.00 x 110 Feet,C4661849,3500-5000 sqft,2-Storey,No Data,Detached,23,34 Allview Crescent,Toronto,Bayview Village,"$3,180,000 ",,,,,
561,New,"27 (Jan 7, 2020)","Re/max Excel Realty Ltd., Brokerage",50.00 x 126.91 Feet,C4661842,3500-5000 sqft,2-Storey,No Data,Detached,65,159 Norton Avenue,Toronto,Willowdale East,"$3,780,000 ",,,,,
562,New,"27 (Jan 7, 2020)","Re/max Excel Realty Ltd., Brokerage",45.00 x 128 Feet,C4661841,3500-5000 sqft,2-Storey,No Data,Detached,67,180 Empress Avenue,Toronto,Willowdale East,"$3,780,000 ",,,,,
563,New,"27 (Jan 7, 2020)","Re/max Excel Realty Ltd., Brokerage",41.80 x 122.22 Feet,C4661840,3500-5000 sqft,2-Storey,No Data,Detached,35,27 Wycliffe Crescent,Toronto,Bayview Village,"$3,998,000 ",,,,,
564,New,"27 (Jan 7, 2020)","Re/max Excel Realty Ltd., Brokerage",45.00 x 217.5 Feet,C4661838,No Data,2-Storey,No Data,Detached,51,53 Northwood Drive,Toronto,Newtonbrook East,"$3,480,000 ",,,,,
565,No Data,"27 (Jan 7, 2020)","Sutton Group - Old Mill Linda Tickins Inc., Brokerage",45.25 x 89 Feet,W4661815,3000-3500 sqft,2-Storey,"$12,391 /yr",Detached,68,134 Strath Avenue,Toronto,Kingsway South,"$2,725,000 ",,,,,
566,New,"27 (Jan 6, 2020)","Re/max Realtron Realty Inc., Brokerage",50.00 x 166 Feet,E4661783,3500-5000 sqft,2-Storey,No Data,Detached,22,20 Elaine Lennox Court,Toronto,Rouge E11,"$2,495,000 ",,,,,
567,6-15 years,"28 (Jan 6, 2020)","Homelife Frontier Realty Inc., Brokerage",24.28 x 100.07 Feet,W4661691,2500-3000 sqft,3-Storey,"$4,723 /yr",Detached,73,60 Haynes Avenue,Toronto,York University Heights,"$1,150,000 ",,,,,
568,No Data,"28 (Jan 6, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",58.06 x 110 Feet,C4661686,3000-3500 sqft,2-Storey,"$12,094 /yr",Detached,33,1 Pearwood Crescent,Toronto,Banbury-don Mills,"$2,780,000 ",,,,,
569,No Data,"28 (Jan 6, 2020)","Snobar Realty Group Inc., Brokerage",45.00 x 120 Feet,W4661556,No Data,1 1/2 Storey,"$2,874 /yr",Detached,38,36 Hallow Crescent,Toronto,Rexdale-kipling,"$768,888 ",,,,,
570,No Data,"28 (Jan 6, 2020)","Homelife New World Realty Inc., Brokerage",27.05 x 113.78 Feet,E4661569,No Data,2-Storey,"$3,552 /yr",Detached,71,200 Placentia Boulevard,Toronto,Agincourt North,"$988,000 ",,,,,
571,0-5 years,"28 (Jan 6, 2020)","Right At Home Realty Inc., Brokerage",25.00 x 132 Feet,C4661588,No Data,2-Storey,"$7,524 /yr",Detached,74,24 Ranee Avenue,Toronto,Englemount-lawrence,"$1,899,000 ",,,,,
572,0-5 years,"28 (Jan 6, 2020)","Re/max Aboutowne Realty Corp., Brokerage",30.00 x 135 Feet,C4661448,2000-2500 sqft,2-Storey,"$13,488 /yr",Detached,78,109 Donlea Drive,Toronto,Leaside,"$2,998,000 ",,,,,
573,No Data,"28 (Jan 6, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",50.00 x 120 Feet,W4661349,No Data,1 1/2 Storey,"$3,262 /yr",Detached,23,154 Calvington Drive,Toronto,Downsview-roding-cfb,"$949,000 ",,,,,
574,New,"28 (Jan 6, 2020)","Right At Home Realty Inc., Brokerage",40.00 x 140 Feet,W4661174,2500-3000 sqft,2 1/2 Storey,No Data,Detached,43,71 Enfield Avenue,Toronto,Alderwood,"$2,088,000 ",,,,,
575,0-5 years,"28 (Jan 6, 2020)","Keller Williams Advantage Realty, Brokerage",25.00 x 150 Feet,E4661136,3000-3500 sqft,2-Storey,"$3,600 /yr",Detached,74,196 Gowan Avenue,Toronto,Danforth Village-east York,"$1,779,000 ",,,,,
576,No Data,"28 (Jan 6, 2020)","Ipro Realty Ltd., Brokerage",87.92 x 105.83 Feet,C4661242,9305 sqft,No Data,"$10,593 /yr",Land,24,2436 Bayview Avenue,Toronto,Bridle Path-sunnybrook-york Mills,"$3,295,000 ",,,,,
577,No Data,"28 (Jan 6, 2020)","Royal Lepage Real Estate Services Ltd., Brokerage",25.00 x 100 Feet,W4660972,No Data,Bungalow,"$2,298 /yr",Detached,67,68 Jasper Avenue,Toronto,Rockcliffe-smythe,"$599,000 ",,,,,
578,No Data,"28 (Jan 6, 2020)","Homelife Frontier Realty Inc., Brokerage",63.00 x 105 Feet,E4660996,No Data,Sidesplit 3,"$3,800 /yr",Detached,24,52 Regency Square,Toronto,Guildwood,"$1,149,900 ",,,,,
579,51-99 years,"28 (Jan 6, 2020)","Re/max Professionals Inc., Brokerage",48.26 x 110 Feet,W4660780,2500-3000 sqft,2-Storey,"$8,040 /yr",Detached,42,6 Conifer Drive,Toronto,Markland Wood,"$1,799,000 ",,,,,
580,0-5 years,"28 (Jan 6, 2020)","Aimhome Realty Inc., Brokerage",32.47 x 103.2 Feet,W4660763,2500-3000 sqft,2-Storey,"$5,000 /yr",Detached,60,31 Jane Osler Boulevard,Toronto,Yorkdale-glen Park,"$2,190,000 ",,,,,
581,No Data,"28 (Jan 6, 2020)","Keller Williams Advantage Elite Bruci Group Realty, Brokerag",42.00 x 126.25 Feet,C4660642,No Data,3-Storey,"$8,128 /yr",Detached,88,91 Empress Avenue,Toronto,Willowdale East,"$2,188,800 ",,,,,
582,New,"29 (Jan 4, 2020)","New Era Realty Resolutions Inc., Brokerage",50.00 x 100.99 Feet,C4660400,3500-5000 sqft,2-Storey,"$4,159 /yr",Detached,24,18 Clareville Crescent,Toronto,Don Valley Village,"$2,598,800 ",,,,,
583,No Data,"30 (Jan 4, 2020)","Right At Home Realty Inc., Brokerage",68.90 x 93.32 Feet,C4660376,3500-5000 sqft,2-Storey,"$6,348 /yr",Detached,57,3 Gideon Court,Toronto,Hillcrest Village,"$1,888,888 ",,,,,
584,No Data,"30 (Jan 4, 2020)","Right At Home Realty Inc., Brokerage",50.00 x 120 Feet,C4660255,No Data,Bungalow,"$5,006 /yr",Detached,55,97 Brahms Avenue,Toronto,Hillcrest Village,"$1,149,000 ",,,,,
585,New,"30 (Jan 3, 2020)","One Percent Realty Ltd., Brokerage",34.00 x 100 Feet,E4660084,No Data,2-Storey,"$3,343 /yr",Detached,60,343 O'connor Drive,Toronto,East York,"$2,380,000 ",,,,,
586,New,"31 (Jan 3, 2020)","Right At Home Realty Inc., Brokerage",41.86 x 130 Feet,C4659652,3500-5000 sqft,2-Storey,"$7,046 /yr",Detached,22,46 Gwendolen Avenue,Toronto,Lansing-westgate,"$3,295,000 ",,,,,
587,No Data,"31 (Jan 3, 2020)","Re/max Hallmark Jamie Dempster Group Realty, Brokerage",50.00 x 178.26 Feet,C4659636,No Data,Bungalow,"$6,308 /yr",Detached,56,1025 Willowdale Avenue,Toronto,Newtonbrook East,"$1,599,900 ",,,,,
588,0-5 years,"31 (Jan 3, 2020)","Royal Lepage Your Community Realty, Brokerage",60.00 x 130 Feet,E4659503,3500-5000 sqft,2-Storey,No Data,Detached,34,445 Brownfield Gardens,Toronto,Rouge E10,"$2,185,000 ",,,,,
589,No Data,"31 (Jan 3, 2020)","Royal Star Realty Inc., Brokerage",59.94 x 108 Feet,E4659431,No Data,Bungalow-Raised,"$3,268 /yr",Detached,49,2722 Kennedy Road,Toronto,L'amoreaux,"$999,000 ",,,,,
590,No Data,"31 (Jan 3, 2020)","Century 21 Leading Edge Realty Inc., Brokerage",40.00 x 125 Feet,E4659402,2500-3000 sqft,2-Storey,"$4,839 /yr",Detached,32,29 Princemere Crescent,Toronto,Wexford-maryvale,"$1,199,000 ",,,,,
591,No Data,"32 (Jan 2, 2020)","Homelife New World Realty Inc., Brokerage",58.00 x 118.5 Feet,C4659314,No Data,2-Storey,"$6,782 /yr",Detached,41,16 Pineway Boulevard,Toronto,Bayview Woods-steeles,"$2,100,000 ",,,,,
592,No Data,"32 (Jan 2, 2020)","Re/max Professionals Inc., Brokerage",88.25 x 201.9 Feet,W4659257,No Data,2-Storey,"$14,189 /yr",Detached,40,74 Thorncrest Road,Toronto,Princess-rosethorn,"$3,188,000 ",,,,,
593,0-5 years,"32 (Jan 2, 2020)","Re/max Realtron Barry Cohen Homes Inc., Brokerage",60.00 x 150 Feet,C4659163,3500-5000 sqft,2-Storey,"$11,229 /yr",Detached,7,160 Upper Canada Drive,Toronto,St. Andrew-windfields,"$2,850,000 ",,,,,
594,No Data,"32 (Jan 2, 2020)","Everland Realty Inc., Brokerage",50.00 x 197 Feet,E4659014,2500-3000 sqft,2-Storey,"$6,487 /yr",Detached,60,54 Bethune Boulevard,Toronto,Scarborough Village,"$1,359,900 ",,,,,
595,0-5 years,"32 (Jan 2, 2020)","Master`s Choice Realty Inc., Brokerage",50.00 x 162 Feet,E4658951,3500-5000 sqft,2-Storey,"$7,958 /yr",Detached,67,1 Gordon Avenue,Toronto,Agincourt South-malvern West,"$2,188,000 ",,,,,
596,No Data,"32 (Jan 2, 2020)","Landpower Real Estate Ltd., Brokerage",59.50 x 136 Feet,C4658919,3500-5000 sqft,2-Storey,"$13,656 /yr",Detached,24,12 Aneta Circle,Toronto,Newtonbrook East,"$3,288,888 ",,,,,
597,No Data,"32 (Jan 2, 2020)","Tfn Realty Inc., Brokerage",57.71 x 106.8 Feet,E4658736,No Data,2-Storey,"$2,862 /yr",Detached,28,916 Scarborough Golfclub Road,Toronto,Woburn,"$849,900 ",,,,,
598,0-5 years,"33 (Jan 1, 2020)","Re/max Real Estate Centre Inc., Brokerage",50.00 x 110 Feet,W4658425,3000-3500 sqft,2-Storey,"$9,002 /yr",Detached,51,19 Nipissing Drive,Toronto,Islington-city Centre West,"$2,149,800 ",,,,,
599,No Data,"35 (Dec 30, 2019)","Re/max Premier Inc., Brokerage",50.00 x 132.41 Feet,W4658166,No Data,1 1/2 Storey,"$4,500 /yr",Detached,60,74 Gort Avenue,Toronto,Alderwood,"$1,499,900 ",,,,,
600,51-99 years,"36 (Dec 29, 2019)","Re/max Premier Inc., Brokerage",100.00 x 408.6 Feet,W4657954,700-1100 sqft,Bungalow,"$4,122 /yr",Detached,32,148 Rowntree Mill Road,Toronto,Humber Summit,"$949,000 ",,,,,
601,6-15 years,"36 (Dec 29, 2019)","Homelife Landmark Realty Inc., Brokerage",46.17 x 160 Feet,C4657946,3500-5000 sqft,2-Storey,"$13,992 /yr",Detached,48,183 Byng Avenue,Toronto,Willowdale East,"$2,690,000 ",,,,,
602,No Data,"39 (Dec 26, 2019)","Re/max Realtron Realty Inc., Brokerage",51.97 x 140.75 Feet,C4657416,No Data,Bungalow,"$5,296 /yr",Detached,24,3 Pennard Court,Toronto,Newtonbrook West,"$1,245,000 ",,,,,
603,No Data,"41 (Dec 24, 2019)","Chipkar, R.j., Real Estate Ltd., Brokerage",30.64 x 90.85 Feet,W4657352,No Data,2-Storey,"$4,189 /yr",Detached,46,43 Hellensfield Crescent,Toronto,Eringate-centennial-west Deane,"$1,050,000 ",,,,,
604,No Data,"41 (Dec 24, 2019)","Century 21 Atria Realty Inc., Brokerage",25.00 x 134.83 Feet,C4657271,No Data,2-Storey,"$5,189 /yr",Detached,93,47 Roselawn Avenue,Toronto,Yonge-eglinton,"$2,749,000 ",,,,,
605,No Data,"41 (Dec 24, 2019)","Century 21 Atria Realty Inc., Brokerage",25.00 x 134.83 Feet,C4657270,No Data,2-Storey,"$5,865 /yr",Detached,93,49 Roselawn Avenue,Toronto,Yonge-eglinton,"$2,749,000 ",,,,,
606,No Data,"41 (Dec 24, 2019)",Marcus & Millichap Real Estate Investment Services Canada In,32.00 x 100 Feet,C4657254,No Data,3-Storey,"$9,399 /yr",Detached,93,195 Dovercourt Road,Toronto,Trinity-bellwoods,"$3,499,000 ",,,,,
607,No Data,"42 (Dec 23, 2019)","Re/max Realty Services Inc., Brokerage",43.50 x 118.95 Feet,W4656996,3000-3500 sqft,2-Storey,"$5,158 /yr",Detached,72,4 Velma Drive,Toronto,Stonegate-queensway,"$2,499,700 ",,,,,
608,No Data,"43 (Dec 22, 2019)","Re/max Realtron Realty Inc., Brokerage",50.00 x 132 Feet,C4656752,No Data,Bungalow,"$4,764 /yr",Detached,79,21 Patricia Avenue,Toronto,Newtonbrook West,"$1,399,000 ",,,,,
609,No Data,"44 (Dec 21, 2019)","Re/max Ultimate Realty Inc., Brokerage",30.00 x 80 Feet,W4656549,No Data,2-Storey,No Data,Detached,42,31 Lockheed Boulevard,Toronto,Humber Heights,"$1,324,800 ",,,,,
610,No Data,"45 (Dec 20, 2019)","Royal Lepage Maximum Realty, Brokerage",24.00 x 120 Feet,W4656312,No Data,2-Storey,No Data,Detached,70,781 Oxford Street,Toronto,Mimico,"$1,598,800 ",,,,,
611,No Data,"46 (Dec 19, 2019)","Homelife Frontier Realty Inc., Brokerage",38.50 x 125 Feet,E4655996,No Data,2-Storey,"$3,999 /yr",Detached,68,4 Derwyn Road,Toronto,East York,"$2,088,000 ",,,,,
612,No Data,"46 (Dec 19, 2019)","Royal Lepage Signature Realty, Brokerage",61.02 x 129.08 Feet,E4655995,No Data,2-Storey,"$3,244 /yr",Detached,67,38 Cliffside Drive,Toronto,Birchcliffe-cliffside,"$1,450,000 ",,,,,
613,No Data,"46 (Dec 19, 2019)","Re/max Realtron Realty Inc., Brokerage",179.50 x 118 Feet,C4655984,No Data,Bungalow,"$23,467 /yr",Detached,80,60 Avondale Avenue,Toronto,Willowdale East,"$9,985,000 ",,,,,
614,No Data,"46 (Dec 19, 2019)",Sutton Group Incentive Realty Inc. Brokerage,No Data,30782210,No Data,2 Level,No Data,House/Single Family,47,80 Lynnhaven Drive,Toronto,Tcel - Englemount-lawrence,"$1,899,800 ",,,,,
615,No Data,"46 (Dec 19, 2019)","Aimhome Realty Inc., Brokerage",55.00 x 108.32 Feet,C4655659,No Data,Bungalow-Raised,"$7,771 /yr",Detached,27,37 Blithfield Avenue,Toronto,Bayview Village,"$1,890,000 ",,,,,
616,No Data,"46 (Dec 19, 2019)","Royal Lepage Estate Realty, Brokerage",54.00 x 154 Feet,C4655619,No Data,2-Storey,"$7,261 /yr",Detached,41,31 Bradgate Road,Toronto,Banbury-don Mills,"$5,890,000 ",,,,,
617,No Data,"46 (Dec 19, 2019)","Re/max Real Estate Centre Inc., Brokerage",40.00 x 132 Feet,C4655557,No Data,2-Storey,"$8,000 /yr",Detached,40,149 Glen Park Avenue,Toronto,Englemount-lawrence,"$2,599,000 ",,,,,
618,0-5 years,"47 (Dec 18, 2019)","Sutton Group Incentive Realty Inc., Brokerage",46.03 x 123.3 Feet,C4655487,3000-3500 sqft,2-Storey,"$9,245 /yr",Detached,47,80 Lynnhaven Road,Toronto,Englemount-lawrence,"$1,899,800 ",,,,,
619,No Data,"47 (Dec 18, 2019)","Sutton Group-admiral Realty Inc., Brokerage",50.00 x 106 Feet,W4655322,No Data,Bungalow,"$4,116 /yr",Detached,77,99 Twenty Seventh Street,Toronto,Long Branch,"$1,099,999 ",,,,,
620,No Data,"47 (Dec 18, 2019)","Forest Hill Real Estate Inc., Brokerage",100.00 x 180 Feet,C4655204,5000 sqft,2-Storey,"$33,655 /yr",Detached,20,35 Old Colony Road,Toronto,St. Andrew-windfields,"$7,990,000 ",,,,,
621,No Data,"47 (Dec 18, 2019)","Keller Williams Neighbourhood Realty, Brokerage",,C4655111,4216 sqft,,"$27,688 /yr",Commercial/Retail,84,54 Moutray Street,Toronto,Little Portugal,"$2,900,000 ",Church,Residential,Residential,,
622,New,"47 (Dec 18, 2019)","Royal Lepage Signature Realty, Brokerage",50.00 x 125 Feet,C4654999,No Data,2-Storey,"$6,909 /yr",Detached,29,112 Bombay Avenue,Toronto,Lansing-westgate,"$3,249,000 ",,,,,
